,Accessibility_Support,CreationDate,EditDate,GlobalID,Instructions,OBJECTID,Outside_FID,Same_Day_Results,State,Wheelchair_Accessible,agency,agencytype,agencyurl,appt_only,bulk_upload,call_first,comments,county,data_source,drive_through,end_date,facility_type,facilityid,filter,fine_print,fulladdr,health_dept_url,minimum_age_vaccine,municipality,name,numvehicles,offers_vaccine,operhours,phone,public_form,red_flag,referral_required,services_offered_onsite,start_date,status,take_home_test,test_processing,testcapacity,type_of_test,vaccine_url,vehicle_required,virtual_screening,vol_note
0,Unknown,2020-03-25T20:29:26.343Z,2021-02-06T01:05:38.956Z,24f1fa28-52c5-495f-ac86-1c09c42ab3e3,"Register today for FREE COVID-19 Testing by public health in North Georgia by calling  1-888-881-1474. The Call Center is open Monday through Friday, 8:15 AM - 4:30 PM. *NO Appointment is Needed for 1st Responders. Call volumes can be abnormally high at times, but please continue dialing until you get through.",28.0,,,GA,Unknown,Cherokee County,County,https://www.cherokeega.com/_focus/corona-virus-plan.php,Yes,,Yes,,Cherokee,Cherokee County Marshall's Office,Yes,1970-01-01T00:00:00Z,Outdoor,,,,"7545 Main St, Woodstock GA 30188",https://dph.georgia.gov/,,Woodstock,Cherokee County Government Complex,,Yes,Monday - Friday 8:00 am - 2:00 pm Saturdays 9:00 am - 12:00 pm,(770) 928-0133,no,,No,testing only,1970-01-01T00:00:00Z,Open,No,offsite lab,,molecular,https://dph.georgia.gov/locations/cherokee-county-health-department-woodstock-covid-vaccine,,,Information updated 12/10/2020
1,Unknown,2020-03-25T23:57:22.555Z,2021-01-19T07:26:00.151Z,c8114cf7-8e15-460a-99fd-f9ec679ef1ef,"Bring a government issued ID, your insurance card (if insured), and your healthcare facility or first responder ID or badge (if applicable). Everyone over 18 will be tested, regardless of symptoms or whether they are insured.

Things to consider:

-There are no bathrooms
-You will not be permitted to exit your vehicle.
-No bicycles or mopeds will be allowed.",145.0,,Ltd,FL,NA,Stephen Ross,Private,https://www.miamidade.gov/global/initiatives/coronavirus/home.page,No,,No,"This is a state-supported COVID-19 testing site. Offering both molecular and rapid antigen testing, but rapid antigen testing is only available to those who show symptoms or are over 65 years old.",Miami-Dade,https://www.reuters.com/article/us-health-coronavirus-florida/florida-to-provide-15-minute-covid-19-test-results-at-two-sites-idUSKCN24Z25S,Yes,1970-01-01T00:00:00Z,Outdoor,,,,"347 Don Shula Dr., Miami Gardens, FL 33056",https://floridahealthcovid19.gov/,,Miami Gardens,Hard Rock Stadium,,Yes,7 days a week 9 a.m. – 5 p.m.,,no,,No,testing only,1970-01-01T00:00:00Z,Open,No,more than one,1250,molecular and antigen,https://www.flgov.com/2021/01/06/governor-ron-desantis-announces-miami-hard-rock-stadium-is-opening-as-the-first-state-supported-vaccination-and-testing-site/,Yes,No,Updated to reflect that they are now offering antigen testing in limited cases.
2,Unknown,2020-03-26T00:15:55.688Z,2021-02-06T01:11:21.340Z,d793c6a9-77bf-48f7-acad-206a0fb52cac,"To be tested, you must submit an online testing referral form from the website. This form includes a questionnaire and lets you register for drive-up testing at a designated time at one of our two locations. After completing the form, you will be supplied with a number that must be presented at the time of testing.",164.0,,,GA,NA,Cobb & Douglass Public Health,County,http://www.cobbanddouglaspublichealth.com/services/epidemiology-infectious-disease/novelcoronavirus/,Yes,,,"ANYONE can now be tested for FREE, regardless of symptoms.",Cobb,,Yes,1970-01-01T00:00:00Z,Outdoor,,,,"2245 Callaway Road Marietta, GA 30008",https://covid19.gachd.org/,,Marietta,Jim R. Miller Park,,Yes,Monday - Friday 7:00 a.m. -1:00 p.m. Saturday; 7:00 AM - 12:00 PM Sunday: Closed,770-514-2300,no,,Yes,testing only,1970-01-01T00:00:00Z,Open,No,lab,,molecular,https://dph.georgia.gov/locations/cobb-douglas-public-health-covid-site,Yes,,Updated June 29
3,Unknown,2020-03-26T02:28:47.302Z,2021-01-18T03:41:24.210Z,e7b191b6-078a-4c5e-be4e-fcb1c477d31f,"If you are a veteran and are experiencing extreme symptoms of COVID-19, you can visit the center at any time.",216.0,,,FL,Unknown,Department of Veterans Affairs,VA,https://www.westpalmbeach.va.gov/,Yes,,No,,Palm Beach,,No,1970-01-01T00:00:00Z,Medical Center,,,,"7305 N Military Trl, West Palm Beach, FL 33410",http://palmbeach.floridahealth.gov/,,Palm Beach Gardens,West Palm Beach VA Medical Center,,Yes,24hr,(561) 422-8262,no,,No,screening and testing,1970-01-01T00:00:00Z,Testing Restricted,No,lab,,molecular,https://www.va.gov/health-care/covid-19-vaccine/,,Required,
4,Unknown,2020-03-26T06:16:42.115Z,2021-02-06T23:48:06.777Z,3a32db8f-be8c-4206-9e13-72901c4c50e0,Employees and adult patients. No one under 12 years old will be tested.,267.0,324,No,MA,Unknown,U Mass Memorial Health Alliance,School,https://www.umassmemorialhealthcare.org/healthalliance-clinton-hospital/physicians/covid-19-call-ahead-testing-resources-healthalliance-clinton-hospital,Yes,,Yes,Drive Up Testing Facility. Need to have an order from the doctor to be tested. Check website for full instructions.,Worcester,https://www.umassmemorialhealthcare.org/healthalliance-clinton-hospital/physicians/covid-19-call-ahead-testing-resources-healthalliance-clinton-hospital,Yes,1970-01-01T00:00:00Z,Outdoor,324,,,"60 Hospital Road Leominster, MA 01453 United States",https://www.mass.gov/info-details/covid-19-updates-and-information,,Leominster,UMass Health Alliance - Clinton Hospital Leominster Campus Lab Tent,,Yes,"M-F 8:30 am-4 pm, weekends 8:30 am-12:30 pm",978-368-3000,no,,Yes,testing only,1970-01-01T00:00:00Z,Open,No,offsite lab,,molecular,https://bit.ly/361gNvq,,,"Updated name, location, hours and instructions based on https://www.umassmemorialhealthcare.org/sites/umass-memorial-hospital/files/Documents/Emergency_Documents/COVID-19%20Testing%20for%20Ambulatory%20Patients%20UMMHC%20V10%205_20.pdf"
5,Unknown,2020-03-26T08:58:19.552Z,2021-01-30T01:46:07.662Z,f0cb9664-7378-42c7-8b42-25bf5c2cc998,"The clinic is experiencing longer than usual wait times. Limit number of individuals in appointments to ONLY the patient and, only if necessary ONE other person. 
Patients must be symptomatic and qualify through screening at the door of facility to be tested. Patients may walk-in to the clinic. Hours may vary depending upon supplies. Anyone arriving at the clinic for COVID-19 testing must qualify for swabbing through STRIDE's Door Screening Process. NOT accepting private provider orders.",276.0,,,CO,Unknown,STRIDE Community Health Care,FQHC,https://stridechc.org/covid-19/,Yes,,No,"Drive-Thru testing is available to Hospital Workers, Healthcare Employees, First Responders, and the General Public.
*You must have an ID card for registration.
*If you have insurance, please bring your insurance card.
*Individuals without insurance are also welcome.
**Please Note: Testing is limited to the first 35 individuals per time block, so arrive early**
Antibody Testing Available 4/27",Jefferson,,Yes,1970-01-01T00:00:00Z,Clinic,,,,"7495 W 29th Ave, Wheat Ridge, CO  80033",https://www.jeffco.us/public-health,,Wheat Ridge,STRIDE CHC - Jeffco Family Health Services Center,35,Yes,Clinic Hours: Mon - Fri: 8 AM - 5 PM; Sat: 8 AM - 1:30 PM; Drive-Thru Hours: 9 AM - 12 PM & 1 PM - 4 PM,303-360-6276,no,,No,screening and testing,1970-01-01T00:00:00Z,Open,No,more than one,35,molecular and antibody,http://stridechc.org,,Available,
6,Unknown,2020-03-26T23:41:43.537Z,2021-01-29T22:22:12.843Z,6508ace6-2507-45ca-9807-d505ad9d6e3b,"if you are exhibiting symptoms you feel may be consistent with COVID-19, we ask you DO NOT show up at your place of health care unannounced. Instead, please call (509-662-6000) so we may ask you a few questions that will best determine your course of care.",655.0,,,WA,Unknown,Columbia Valley Community Health,Non Profit,https://cvch.org/health-alert,Yes,,Yes,"Whenever possible, we begin the screening process on the telephone before a patient visits one of our facilities. And when patients do visit us, we ask those with a cough or respiratory symptoms to don a mask immediately upon arriving.",Chelan,,No,1970-01-01T00:00:00Z,Clinic,,,,"600 Orondo Ave #1, Wenatchee, WA 98801",https://cdhd.wa.gov/,,Douglas,Columbia Valley Community Health,,Yes,Monday-Friday 8am-6pm Saturday 8:30am-4pm,(509-662-6000),no,,Yes,testing only,1970-01-01T00:00:00Z,Open,No,offsite lab,,molecular,https://cvch.org/welcome,,,
7,Unknown,2020-03-27T00:33:27.120Z,2021-01-30T01:46:07.662Z,548b4f35-70fc-4581-afda-4ec3cc14cde3,"Patient must have a scheduled appointment to get tested at the Med Center. If you have a scheduled an appointment, arrive in your car or on foot. Call to check in and get your next set of instructions.",677.0,,,CO,Unknown,,Regional,https://tellmed.org,Yes,,Yes,,San Miguel,,Yes,1970-01-01T00:00:00Z,Medical Center,,,,500 West Pacific Ave,https://covid19.colorado.gov/,,Telluride,Telluride Medical Center,3,Yes,8am- 5pm,970-728-3848,no,,Yes,testing only,1970-01-01T00:00:00Z,Open,No,offsite lab,,molecular,http://tellmed.org,,Available,
8,Unknown,2020-03-27T17:32:02.322Z,2021-01-30T01:46:07.662Z,a4409a29-f2f7-4800-b71d-e4c9ada504ad,COVID-19 testing is currently offered to those who Screen Positive through our Door Screening,891.0,,,CO,Unknown,STRIDE CHC,FQHC,https://stridechc.org/locations/,Yes,,No,,Adams,,No,1970-01-01T00:00:00Z,Clinic,,,,"3292 Peoria St, Aurora, CO 80010",https://covid19.colorado.gov/,,Aurora,North Aurora Family Health Services Center,,Yes,Mon – Fri: 8AM–5PM; Sat: 8AM–2PM,303-360-6276,no,,No,screening and testing,1970-01-01T00:00:00Z,Open,No,offsite lab,,molecular,https://stridechc.org/covid-19/vaccine/,,No,
9,Unknown,2020-03-27T17:36:15.700Z,2021-01-30T01:46:07.662Z,d92aac2c-6ca5-4e7d-8b52-add0aa7d559b,,898.0,,,CO,Unknown,STRIDE,Private,https://stridechc.org/locations/,Yes,,No,"Due to limited test kits and continued alignment with CDC guidelines, STRIDE is prioritizing the following priority populations for testing: Tier 1 – Healthcare Workers with symptoms. Tier 2 – Patients over age 65 with symptoms; Patients with underlying health conditions with symptoms; First Responders with symptoms; Critical Infrastructure Workers with symptoms; and People with symptoms who work with Vulnerable Populations or in Group Residential Settings.",Arapahoe,,Yes,1970-01-01T00:00:00Z,Clinic,,,,"10680 Del Mar Pkwy, Aurora, CO 80010",https://www.tchd.org/,,Aurora,Aurora Health & Wellness Plaza,,Yes,Mon- Fri 9am-4pm,303-360-6276,no,,No,screening and testing,1970-01-01T00:00:00Z,Open,No,lab,,molecular,https://stridechc.org/covid-19/vaccine/,,No,
